from,to,weight
46149,6371,1
16452,56729,1
16452,57735,1
16452,57595,1
47578,10123,1
47578,39685,1
53369,52357,1
53369,15342,1
53369,8656,1
56893,15344,1
44946,55768,1
29407,48379,1
16452,56724,1
29407,47595,1
29407,25378,1
58398,58977,1
16473,5926,1
29407,48839,1
8108,55768,1
25971,12811,1
16452,56434,1
57363,58398,1
29407,48386,1
16452,56903,1
26728,10644,1
16452,57717,1
44580,42110,1
16452,25704,1
16452,33407,1
16452,51027,1
57363,48248,1
57363,43458,1
10646,14803,1
29613,51053,1
41655,24533,1
16452,55967,1
41655,57995,1
17012,8139,1
29613,57215,1
48419,57215,1
57215,2447,1
52555,52367,1
10646,9117,1
48300,43061,1
44580,57215,1
1477,43061,1
44123,55604,1
51030,53193,1
44580,10646,1
44592,10646,1
50561,6371,1
50561,2399,1
50561,2058,1
57114,40608,1
50561,6993,1
50561,2383,1
50561,2393,1
50561,2449,1
48560,14004,1
48560,12507,1
44592,55768,1
50561,6668,1
50561,21677,1
8108,57215,1
50561,2511,1
16452,25899,1
50561,2433,1
50561,2476,1
56540,49684,1
56540,2396,1
50561,2485,1
50561,2434,1
16452,58501,1
50561,6325,1
57608,40608,1
26728,1561,1
56960,52359,1
26728,7005,1
26728,2470,1
57706,57852,1
58398,58700,1
52772,6668,1
56960,52329,1
52803,52367,1
13227,56492,1
52803,15344,1
7005,44650,1
57363,2476,1
52803,2422,1
7005,36675,1
47613,27080,1
52765,43066,1
2296,57363,1
2296,57215,1
2296,48652,1
58591,48397,1
48014,56729,1
58197,52367,1
58398,58557,1
16452,58582,1
57706,56724,1
57706,57735,1
57706,57717,1
58398,58512,1
58398,58611,1
16452,58591,1
47430,32007,1
43415,21066,1
53369,2393,1
53369,52865,1
37385,53429,1
44946,45819,1
58398,57072,1
53429,46789,1
55199,7867,1
16452,24533,1
56540,9871,1
56540,2476,1
56540,51317,1
57295,44241,1
41655,58977,1
57706,59155,1
40607,2406,1
49023,15342,1
58333,1515,1
16452,52274,1
58398,58698,1
47613,2127,1
57706,58493,1
59612,59347,1
57706,59482,1
16452,59628,1
16452,59155,1
16452,58962,1
46934,42202,1
57164,6371,1
16452,58978,1
46327,19472,1
46327,21054,1
59273,2424,1
59273,2406,1
59273,2385,1
59273,2470,1
59902,59898,1
59902,59900,1
59898,59900,1
59898,59901,1
59902,59901,1
59898,48844,1
59902,48844,1
58189,59928,1
58189,58571,1
59827,59995,1
32007,59928,1
60023,60226,1
49152,60584,1
2127,58500,1
59612,43482,1
59612,59941,1
59612,59735,1
46149,29613,1
59612,14220,1
60029,47989,1
59940,15096,1
59612,59768,1
59827,57215,1
60068,6975,1
11863,58615,1
59827,59013,1
59827,59975,1
32007,58571,1
59827,59928,1
44487,55967,1
44487,58571,1
44487,59155,1
10646,60114,1
10646,59180,1
10646,58601,1
10646,57698,1
53295,52359,1
60311,53247,1
13286,13613,1
50178,6371,1
13286,38950,1
10646,6287,1
60068,60464,1
60023,60198,1
60023,60464,1
10646,51861,1
60487,2396,1
5916,2500,1
10646,60558,1
60608,58743,1
43300,14676,1
53295,2476,1
2127,42623,1
2127,44933,1
2127,40353,1
2127,59735,1
2127,43570,1
2127,43821,1
2127,44876,1
2127,43063,1
2127,43104,1
2127,42374,1
2127,43070,1
2127,25947,1
2127,44021,1
2127,24506,1
2127,24279,1
2127,43266,1
2127,24565,1
2127,43276,1
2127,43002,1
2127,37644,1
14076,38497,1
14076,38370,1
14076,60740,1
2127,58501,1
2127,12563,1
60555,60740,1
58398,60740,1
47430,16473,1
10646,60704,1
60068,60740,1
77730,24317,1
77731,24317,1
10646,48467,1
16452,48528,1
77732,24317,1
77733,24317,1
77734,24317,1
77736,24317,1
77738,24317,1
77684,24317,1
2637,12521,1
11863,60740,1
11863,48467,1
21541,21737,1
21541,24440,1
21541,43000,1
40007,2396,1
40007,2406,1
40007,21677,1
77688,24317,1
40007,2453,1
40007,6993,1
40007,6976,1
40007,2443,1
77687,24317,1
35095,2424,1
35095,2393,1
35095,2396,1
40007,24444,1
35095,52375,1
77686,24317,1
64318,24317,1
49118,6371,1
49118,2470,1
49118,2648,1
49118,2721,1
61154,1483,1
61154,51008,1
49118,8656,1
25074,8656,1
2296,40371,1
2296,60541,1
2296,57706,1
2296,56540,1
77685,24317,1
43439,13495,1
43439,41897,1
43439,57126,1
43439,57215,1
49152,2511,1
60790,6993,1
60790,17012,1
60790,31910,1
11863,2396,1
29613,62275,1
77820,77696,1
62698,61898,1
77690,24317,1
77820,72292,1
1477,880,1
62698,62830,1
62698,62779,1
62698,62178,1
77689,24317,1
77820,77692,1
3489,5926,1
3489,9553,1
3489,12557,1
3489,6259,1
3489,2856,1
3489,11988,1
3489,8230,1
3489,8202,1
3489,2114,1
3489,3056,1
3489,3740,1
3489,5066,1
3489,2653,1
3489,3087,1
1477,63546,1
24317,2637,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
3489,2500,1
7197,1477,1
14627,62928,1
24317,24317,1
24317,24317,1
63944,2481,1
50178,53331,1
57363,13575,1
57363,16383,1
68196,52324,1
50178,2454,1
50178,15344,1
42466,5926,1
42350,14676,1
42466,6668,1
68196,52357,1
62504,68397,1
43001,41953,1
52384,6975,1
52384,2407,1
52384,6976,1
24317,24317,1
24317,24317,1
24317,24317,1
68671,48652,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
24317,24317,1
2127,27961,1
3948,24317,1
6640,24317,1
70984,24317,1
46439,24317,1
44015,24317,1
53245,24317,1
52384,24317,1
9669,24317,1
58200,24317,1
2127,24317,1
2721,24317,1
63546,24317,1
70310,24317,1
71904,6668,1
71904,1561,1
58612,70605,1
51337,72538,1
58617,24317,1
72292,24317,1
73257,24317,1
75389,24317,1
71525,7005,1
60790,7005,1
40007,7005,1
73436,2424,1
73436,6325,1
73436,2461,1
2296,68762,1
77703,24317,1
69115,15342,1
2127,60027,1
51030,15344,1
57722,52361,1
2296,63170,1
1477,14242,1
1477,2798,1
24317,70372,1
77726,24317,1
24317,70371,1
77727,24317,1
32007,76205,1
77728,24317,1
77729,24317,1
24317,77621,1
77691,24317,1
77692,24317,1
77693,24317,1
77694,24317,1
77695,24317,1
77696,24317,1
77820,44496,1
77698,24317,1
77700,24317,1
77701,24317,1
77702,24317,1
77722,24317,1
77704,24317,1
77705,24317,1
77706,24317,1
77707,24317,1
77708,24317,1
77709,24317,1
77710,24317,1
77711,24317,1
77712,24317,1
77714,24317,1
77715,24317,1
77716,24317,1
77717,24317,1
77718,24317,1
77719,24317,1
77720,24317,1
77721,24317,1
77723,24317,1
77724,24317,1
77725,24317,1
77820,77694,1
46439,77723,1
46439,77726,1
46439,77730,1
46439,9669,1
46439,77724,1
46439,77728,1
46439,6640,1
17125,74607,1
78497,13227,1
75389,77688,1
75389,77687,1
78581,60832,1
78583,78581,1
75389,77684,1
78581,48248,1
78583,78586,1
78581,45033,1
79750,69001,1
78581,50325,1
78581,3537,1
78583,78585,1
70984,77690,1
70984,77689,1
70984,77687,1
70984,77688,1
77726,77728,1
78581,24317,1
78584,24317,1
78583,24317,1
78582,24317,1
78586,24317,1
78585,24317,1
72285,24317,1
10646,24317,1
70984,77686,1
70984,77684,1
24317,78578,1
78581,51155,1
78583,72285,1
78497,58398,1
70372,70371,1
78581,2814,1
75389,77689,1
78944,2396,1
78944,2406,1
78944,2511,1
78497,55264,1
70984,75389,1
75389,77690,1
24317,77820,1
32007,41766,1
75389,77686,1
78497,78974,1
47432,69114,1
78583,78584,1
69001,2396,1
79468,24317,1
78581,44961,1
32007,79874,1
72258,2393,1
72258,2396,1
78581,29376,1
78581,1561,1
78581,7296,1
78581,2476,1
78581,6325,1
78581,52179,1
78581,1485,1
78581,18320,1
78581,33697,1
78581,58200,1
78581,75389,1
78581,2443,1
78581,49501,1
78581,43458,1
78581,2449,1
78581,3145,1
78581,3912,1
78581,3568,1
78581,2406,1
78581,10604,1
78581,8659,1
78581,19472,1
78581,5367,1
78581,1636,1
78581,39685,1
78581,6036,1
78581,3920,1
78581,3948,1
78581,21054,1
78581,2396,1
78581,1749,1
78581,2436,1
78581,6414,1
78581,14698,1
78581,43597,1
78581,58461,1
78581,4810,1
78581,6653,1
78581,63546,1
78581,24416,1
78581,2388,1
78581,12172,1
78581,2521,1
78581,9455,1
78581,43777,1
78581,12547,1
78581,2512,1
78581,4812,1
78581,22678,1
78581,18064,1
78581,7278,1
78581,6068,1
78581,38009,1
78581,43909,1
78581,71904,1
78581,38359,1
78581,29153,1
78581,15321,1
78581,2483,1
78581,3215,1
78581,15344,1
78581,8134,1
78581,2126,1
78581,3922,1
78581,15675,1
78581,2697,1
78581,6478,1
78581,28177,1
78581,10239,1
78581,8439,1
78581,2433,1
78581,68832,1
78581,2324,1
78581,2393,1
78581,13581,1
78581,2470,1
78581,14174,1
78581,48374,1
78581,2461,1
78581,21305,1
78581,2400,1
78581,880,1
78581,11720,1
78581,44519,1
78581,14635,1
78581,17176,1
78581,5444,1
78581,6287,1
78581,47337,1
78581,42451,1
78581,27203,1
78581,57204,1
78581,25674,1
78581,23674,1
78581,7958,1
78581,14018,1
78581,5940,1
78581,19680,1
78581,14375,1
78581,40053,1
78581,9672,1
51030,7005,1
78581,7005,1
78581,78582,1
78581,3123,1
58398,80332,1
78583,78582,1
81207,51008,1
78974,79360,1
78974,41766,1
78974,59155,1
78974,80332,1
78974,69125,1
50178,38513,1
32007,24678,1
32007,59155,1
47432,23502,1
24317,79521,1
24449,37496,1
77726,6640,1
58398,71790,1
32007,80355,1
77726,77730,1
32007,83969,1
48186,82779,1
77726,77723,1
77726,77724,1
77726,9669,1
48186,71777,1
47346,13391,1
83650,2396,1
83650,2453,1
61143,2424,1
61143,6460,1
84752,83741,1
32007,79495,1
32007,83409,1
32007,84702,1
48500,84986,1
57706,2396,1
42950,24317,1
85405,24317,1
77726,85374,1
58398,85374,1
32007,85374,1
85551,73505,1
77668,85434,1
85482,50844,1
72489,21054,1
72489,43597,1
72489,6976,1
72489,15081,1
72489,15344,1
72489,1561,1
72489,2476,1
42617,82803,1
32007,85415,1
81153,2296,1
52930,2450,1
32007,86824,1
44487,52101,1
24317,71480,1
86090,75389,1
86090,2413,1
86090,2511,1
32007,86149,1
32007,57719,1
32007,82678,1
32007,86918,1
58398,86226,1
78974,82117,1
52930,2491,1
86101,6976,1
86101,2468,1
11758,86824,1
86972,3123,1
86972,1561,1
86972,2557,1
86972,15291,1
86972,48248,1
52930,3922,1
32007,86899,1
52930,2434,1
52930,2400,1
52930,2470,1
32007,87142,1
82813,4740,1
86972,2406,1
86972,87367,1
2296,87823,1
88213,59830,1
82813,2396,1
2296,74607,1
16452,87367,1
32007,87342,1
32007,88403,1
16452,88150,1
16452,63854,1
88589,24317,1
88213,7538,1
88590,24317,1
12682,24317,1
64317,24317,1
9222,24317,1
85793,24317,1
42950,2393,1
16452,48467,1
32007,48467,1
16452,83535,1
42950,2396,1
88213,48014,1
88592,24317,1
88213,1676,1
88213,36785,1
15303,48014,1
16452,88371,1
58398,88336,1
32007,88958,1